step,train_loss,val_loss,lr
500,2.7633,2.7793,9.99e-04
1000,2.2975,2.3087,9.96e-04
1500,2.1257,2.1413,9.90e-04
2000,2.0304,2.0434,9.82e-04
2500,1.9842,1.9763,9.70e-04
3000,1.9238,1.9307,9.56e-04
3500,1.8874,1.8838,9.40e-04
4000,1.8660,1.8687,9.21e-04
4500,1.8384,1.8446,8.99e-04
5000,1.8106,1.8160,8.76e-04
5500,1.7899,1.7989,8.50e-04
6000,1.7797,1.7918,8.23e-04
6500,1.7541,1.7742,7.93e-04
7000,1.7575,1.7518,7.63e-04
7500,1.7370,1.7425,7.30e-04
8000,1.7220,1.7147,6.97e-04
8500,1.7071,1.7137,6.63e-04
9000,1.7015,1.6999,6.28e-04
9500,1.6741,1.6774,5.93e-04
10000,1.6676,1.6818,5.57e-04
10500,1.6637,1.6709,5.21e-04
11000,1.6479,1.6642,4.86e-04
11500,1.6388,1.6464,4.51e-04
12000,1.6390,1.6433,4.16e-04
12500,1.6176,1.6411,3.83e-04
13000,1.6099,1.6321,3.50e-04
13500,1.6069,1.6047,3.19e-04
14000,1.5932,1.6099,2.89e-04
14500,1.5869,1.6002,2.61e-04
15000,1.5737,1.5797,2.34e-04
15500,1.5718,1.5844,2.10e-04
16000,1.5713,1.5789,1.88e-04
16500,1.5504,1.5716,1.68e-04
17000,1.5498,1.5657,1.50e-04
17500,1.5406,1.5638,1.35e-04
18000,1.5460,1.5526,1.22e-04
18500,1.5414,1.5611,1.13e-04
19000,1.5360,1.5448,1.06e-04
19500,1.5358,1.5493,1.01e-04
19999,1.5197,1.5444,1.00e-04
