step,train_loss,val_loss,lr
500,2.6424,2.6367,9.99e-04
1000,2.2356,2.2326,9.96e-04
1500,2.0796,2.0863,9.90e-04
2000,1.9970,1.9909,9.82e-04
2500,1.9206,1.9349,9.70e-04
3000,1.8736,1.8942,9.56e-04
3500,1.8530,1.8557,9.40e-04
4000,1.8213,1.8344,9.21e-04
4500,1.7963,1.8042,8.99e-04
5000,1.7765,1.7736,8.76e-04
5500,1.7513,1.7627,8.50e-04
6000,1.7314,1.7325,8.23e-04
6500,1.7223,1.7284,7.93e-04
7000,1.7064,1.7079,7.63e-04
7500,1.6928,1.6941,7.30e-04
8000,1.6786,1.6793,6.97e-04
8500,1.6596,1.6662,6.63e-04
9000,1.6456,1.6722,6.28e-04
9500,1.6459,1.6466,5.93e-04
10000,1.6295,1.6318,5.57e-04
10500,1.6203,1.6209,5.21e-04
11000,1.6064,1.6092,4.86e-04
11500,1.6008,1.6075,4.51e-04
12000,1.5738,1.5980,4.16e-04
12500,1.5738,1.5913,3.83e-04
13000,1.5617,1.5756,3.50e-04
13500,1.5574,1.5729,3.19e-04
14000,1.5418,1.5622,2.89e-04
14500,1.5339,1.5508,2.61e-04
15000,1.5278,1.5417,2.34e-04
15500,1.5185,1.5294,2.10e-04
16000,1.5233,1.5220,1.88e-04
16500,1.5169,1.5316,1.68e-04
17000,1.5126,1.5250,1.50e-04
17500,1.5052,1.5130,1.35e-04
18000,1.4893,1.5112,1.22e-04
18500,1.4857,1.4984,1.13e-04
19000,1.4881,1.5083,1.06e-04
19500,1.4778,1.4958,1.01e-04
19999,1.4858,1.5051,1.00e-04
