step,train_loss,val_loss,lr
500,2.7660,2.7723,9.99e-04
1000,2.2864,2.2981,9.96e-04
1500,2.1151,2.1309,9.90e-04
2000,2.0324,2.0446,9.82e-04
2500,1.9716,1.9640,9.70e-04
3000,1.9182,1.9381,9.56e-04
3500,1.8881,1.8844,9.40e-04
4000,1.8512,1.8571,9.21e-04
4500,1.8253,1.8337,8.99e-04
5000,1.8051,1.8195,8.76e-04
5500,1.7903,1.7939,8.50e-04
6000,1.7683,1.7756,8.23e-04
6500,1.7532,1.7464,7.93e-04
7000,1.7382,1.7382,7.63e-04
7500,1.7319,1.7357,7.30e-04
8000,1.7104,1.7166,6.97e-04
8500,1.7007,1.7134,6.63e-04
9000,1.6802,1.6920,6.28e-04
9500,1.6851,1.6857,5.93e-04
10000,1.6713,1.6709,5.57e-04
10500,1.6524,1.6668,5.21e-04
11000,1.6425,1.6487,4.86e-04
11500,1.6446,1.6458,4.51e-04
12000,1.6346,1.6390,4.16e-04
12500,1.6138,1.6149,3.83e-04
13000,1.5964,1.6218,3.50e-04
13500,1.5968,1.6126,3.19e-04
14000,1.5889,1.5977,2.89e-04
14500,1.5800,1.5975,2.61e-04
15000,1.5725,1.5890,2.34e-04
15500,1.5535,1.5793,2.10e-04
16000,1.5572,1.5724,1.88e-04
16500,1.5561,1.5584,1.68e-04
17000,1.5516,1.5576,1.50e-04
17500,1.5295,1.5483,1.35e-04
18000,1.5331,1.5454,1.22e-04
18500,1.5333,1.5346,1.13e-04
19000,1.5259,1.5495,1.06e-04
19500,1.5081,1.5437,1.01e-04
19999,1.5240,1.5315,1.00e-04
