step,train_loss,val_loss,lr
500,2.6304,2.6386,9.99e-04
1000,2.2409,2.2316,9.96e-04
1500,2.0783,2.0760,9.90e-04
2000,1.9958,1.9994,9.82e-04
2500,1.9290,1.9419,9.70e-04
3000,1.8914,1.9007,9.56e-04
3500,1.8572,1.8556,9.40e-04
4000,1.8146,1.8334,9.21e-04
4500,1.7973,1.8030,8.99e-04
5000,1.7836,1.7735,8.76e-04
5500,1.7505,1.7622,8.50e-04
6000,1.7291,1.7491,8.23e-04
6500,1.7351,1.7466,7.93e-04
7000,1.7008,1.7020,7.63e-04
7500,1.6898,1.6989,7.30e-04
8000,1.6674,1.6837,6.97e-04
8500,1.6623,1.6636,6.63e-04
9000,1.6504,1.6635,6.28e-04
9500,1.6361,1.6429,5.93e-04
10000,1.6376,1.6294,5.57e-04
10500,1.6188,1.6221,5.21e-04
11000,1.6073,1.6219,4.86e-04
11500,1.6008,1.6102,4.51e-04
12000,1.5915,1.6097,4.16e-04
12500,1.5709,1.5789,3.83e-04
13000,1.5729,1.5778,3.50e-04
13500,1.5531,1.5640,3.19e-04
14000,1.5540,1.5603,2.89e-04
14500,1.5375,1.5512,2.61e-04
15000,1.5382,1.5488,2.34e-04
15500,1.5274,1.5350,2.10e-04
16000,1.5140,1.5229,1.88e-04
16500,1.5117,1.5246,1.68e-04
17000,1.5040,1.5118,1.50e-04
17500,1.5211,1.5176,1.35e-04
18000,1.4872,1.5004,1.22e-04
18500,1.4862,1.5103,1.13e-04
19000,1.4959,1.5062,1.06e-04
19500,1.4901,1.4916,1.01e-04
19999,1.4907,1.4963,1.00e-04
